Day,Start,End,Event,Room,GM,GM2,Event Type,# of People,Description
2.Thursday,8:00 PM,11:59 PM,Arkham Horror 3rd Edition,Bonaire 3,Richard Launius,,Event,4,Join the original Arkham Horror designer Richard Launius in a game of the new 3rd edition Arkham Horror. This game session is primarily for players that have yet to experience the Arkham Horror 3rd edition with the 5 players learning the game as they cooperatively work together to resolve the newest threats in Arkham.
2.Thursday,9:00 PM,10:00 PM,Special Werewolf Signups,Boca Foyer,Eat Villagers,,,,Sign up for the Custom Games
2.Thursday,9:00 PM,TBD,Two Rooms and a Boom,Bonaire 3 & 4,Mike Davis,,,32,
2.Thursday,9:00 PM,11:00 PM,Dice Tower Awards,Caribbean Ballroom V-VII,Tom Vasel,,,250,The Dice Tower Awards Show for 2018
2.Thursday,10:00 PM,,Game of Thrones Werewolf,Boca 6,Eat Villagers,,,,
2.Thursday,10:00 PM,,Disney Werewolf,Boca 8,Eat Villagers,,,,
2.Thursday,10:00 PM,,Texas Featuring Jen Sweet,Boca 5,Eat Villagers,,,,
2.Thursday,10:00 PM,8:00 AM,WEREWOLF,BOCA 5-8 & BOCA FOYER,Eat Villagers,,,,"Join the All night Werewolf games, run by Eat Villagers. Please remember that alcohol is not allowed in the Gaming area."
3.Friday,12:00 AM,11:59 PM,OPEN GAMING,ANTIGUA 2-4,,,,,
3.Friday,12:00 AM,,LIBRARY,HIBISCUS ROOM,,,,,
3.Friday,12:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,,
3.Friday,9:00 AM,11:00 PM,Mega Civilization,Bonaire 7,Jerry Sunkin,,Event,24,Play the Ultimate version of Civilization
3.Friday,9:00 AM,12:00 PM,Zombicide,Bonaire 3,Paul Miller,,Event,8,"Come play Zombicide, Black Plague/Green Hordes with terrain"
3.Friday,9:00 AM,1:00 PM,"Pathfinder Society Scenario #9-16: Fallen Family, Broken Name",Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,9:00 AM,1:00 PM,Pathfinder Society Scenario #10-01: Oathbreakers Die,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,9:00 AM,1:00 PM,Starfinder Society Scenario #1-16: Dreaming of the Future,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,9:00 AM,1:00 PM,Starfinder Society Scenario #1-32: Acts of Association,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,9:00 AM,6:00 PM,Pathfinder Module: Plunder & Peril #2: Dangerous Waters,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,9:00 AM,1:00 PM,"D&D 5th Ed ""Trouble in Wursthaven"" ",Curacao III & IV,Scott Parent,,,Event,"For 3 to 6 4th level characters. Bring your own characters/dice/pencils or I will can supply.  For those who bring their own, standard Array, plus 1 Common and 1 Uncommon Magic Items plus up to 500gp of Mundane items"
3.Friday,10:00 AM,6:00 PM,EXHIBITOR HALL OPENS,CARIBBEAN I-IV, ,,,,
3.Friday,10:00 AM,5:00 PM,Silver,Caribbean I-IV,Bezier Games,,Demo,4,Come try this new game by Bezier
3.Friday,10:00 AM,12:00 PM,Adventure Tactics: Domianne's Tower,Bonaire 4,Cassie Friedman,,,5,Let Cassie run you through this fun new Dungeon Crawl
3.Friday,10:00 AM,10:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,10:00 AM,2:00 PM,RPG: Urban Infestation,Bonaire 4,Greater Than Games,,,5,
3.Friday,10:00 AM,5:00 PM,Playtesting Lab,Boca I-II,Matt Holden,,,,"Join Indie Game Alliance and play some games before they are produced, and help make them better"
3.Friday,10:00 AM,5:00 PM,new Teotihuacan expansion,Caribbean Ballroom I-IV,Meeple Source,,Demo,,"Teotihuacan: Late Preclassic Period, available to demo all day, Also: Sierra West, same times. People can choose between getting a quick preview, or to actually sit down and play a short demo.  "
3.Friday,10:00 AM,12:00 PM,Pandemic Survival Tournament - ZMAN,Boca I & II,Michael Giugliano,Joseph Rose,,16,Must have pre-signed up
3.Friday,10:00 AM,12:00 PM,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
3.Friday,10:00 AM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
3.Friday,10:00 AM,12:00 PM,Celestia Tournament,Caribbean I-IV,Quick Simple Fun,,Tournament,16,Come win the new Expansion to Celestia
3.Friday,10:00 AM,5:00 PM,Muse Awakenings Demo,Caribbean I-IV,Quick Simple Fun,,Demo,16,Come and try this fun game from Quick Simple Fun Games
3.Friday,10:00 AM,5:00 PM,For the Love of Cats,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
3.Friday,10:00 AM,5:00 PM,Freight Cars,Caribbean I-IV,Quick Simple Fun,,Demo,6,Come check out the new Kickstarter from Quick Simple Fun
3.Friday,10:00 AM,12:00 PM,Madness at Midnight ,Bonaire 3,Richard Launius,,Event,4,"Become a cult leader in Arkham working to achieve the required points to achieve victory over competing cults in this “old school” strategy and combat game for up to 4 players. Using their cult’s action dice, the players will move their cultists around Arkham locations where to perform actions, fight other cults, complete the active objectives or ceremonies. Designer Richard Launius will teach the game, so no experienced is required."
3.Friday,10:00:00 AM,12:00:00 PM,Cosmic Run: Mining Colony,Boca III-IV,Steve Finn,,Playtesting Lab,4,Build a mining colony on a distant planet in this game from Dr. Finn's Games.
3.Friday,10:00 AM,12:00 PM,"New Commands & Colors Medieval Board Game Demo",Curacao I & II,Steve Malacek,,,Demo,
3.Friday,10:00 AM,11:30 AM,Pitch Car for Kids,Caribbean Foyer,Tom Vasel,,,25,
3.Friday,10:00 AM,5:00 PM,"Demos of Imperial Settlers, Monolith Arena, Tides of Time/Tides of Madness, and Alien Artifacts",Bonaire 1,Portal Games,,Demo,,Demos all con long
3.Friday,10:30 AM,11:00 AM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,11:00 AM,12:00 PM,Designing Games as a team,Caribbean Ballroom V-VII,Designers,,Panel,,"Join Daryl Andrews, Erica Bouyouris, Michael Giugliano, and Adrian Adamescu"
3.Friday,11:00 AM,11:30 AM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,11:30 AM,12:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,11:30 AM,1:00 PM,Pitch Car for Adults,Caribbean Foyer,Tom Vasel,,,25,
3.Friday,12:00 PM,1:00 PM,Game Designer Panel,Caribbean Ballroom V-VII,Designers,,Panel,,"Join Daryl Andrews, Erica Bouyouris, Michael Giugliano, and Adrian Adamescu"
3.Friday,12:00 PM,12:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,12:00 PM,2pm,Arkham Horror Card Game,Bonaire 4,Mike Walker,,Demo,,Come try out the card version of Arkham Horror
3.Friday,12:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
3.Friday,12:30 PM,1:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,1:00 PM,1:30 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,1:00 PM,2:00 PM,Mike Elliott shows off Conflix,Caribbean Ballroom V-VII,Mike Elliott,,Panel,,"See the new game Conflix, which release July 10th"
3.Friday,1:00 PM,2:00 PM,Imperial Settlers Roll & Write ,Bonaire 5,Portal Games,,Event,24,learn-to-play event with prizes for the top scorers
3.Friday,1:00 PM,4:00 PM,DIcetower 500 Race,Bonaire 3,Richard Launius,,Event,24,"Join up to 24 other drivers in the annual superspeedway race where each player uses their Driver Deck to maneuver their race car on the track to make lap count, pass, draft, pull away, bump draft, and occasionally crash in the annual event that has proven to be a racing fan (and gamer) favorite each year at Dicetower. Players will have to work together to get to the front, time their pit stop or try to make it to the finish on fumes, but regardless of racers cooperating on the final laps it is every driver fighting for position. The game is for experienced and rookie drivers as the rules will be covered by the host Richard Launius in the driver’s meeting at the start of the race.  "
3.Friday,1:30 PM,2:00 PM,Medium,Bonaire 4,Greater Than Games,,,8,
3.Friday,2:00 PM,4:00 PM,Adventure Tactics: Domianne's Tower,Bonaire 4,Cassie Friedman,,,5,Let Cassie run you through this fun new Dungeon Crawl
3.Friday,2:00 PM,3:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
3.Friday,2:00 PM,3:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
3.Friday,2:00 PM,6:00 PM,Settlers of Catan Tournament,Boca I & II,Joseph Rose,Steve Hines,,,
3.Friday,2:00 PM,3:00 PM,3D Printing for Tabletop Gaming,Caribbean Ballroom V-VII,Patrick-Michel Dagenais,,Panel,,Come learn more about using your 3d printer with our hobby.
3.Friday,2:00 PM,5:00 PM,Zombicide,Bonaire 3,Paul Miller,,Event,8,"Come play Zombicide, Black Plague/Green Hordes with terrain"
3.Friday,2:00 PM,5:00 PM,Detective,Bonaire 1,Portal Games,,Event,4,Play Case 1 La Crime or Case 6 Suburbia
3.Friday,2:00:00 PM,4:00:00 PM,Waters of Nereus,Bonaire 6,Steve Finn,,Event,4,"Sail the seas of Nereus in this worker-placement, set collection, fantasy seafaring game from Dr. Finn's Games."
3.Friday,2:00 PM,6:00 PM,Pathfinder Society Quest: Honor's Echo,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,2:00 PM,6:00 PM,Pathfinder Society Scenario #10-12: Breath of the Dragonskull,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,2:00 PM,6:00 PM,Starfinder Society Scenario #1-25: The Beacon Code Dilemma,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,3:00 PM,4:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
3.Friday,3:00 PM,4:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
3.Friday,3:00 PM,7:00 PM,"Memoir '44 Tournament With Preprinted Scenario Maps",Curacao I & II,Richard Borg,Neal Ekengren,,16,
3.Friday,4:00 PM,5:00 PM,Homebrewers,Bonaire 4,Greater Than Games,,,5,
3.Friday,4:00 PM,5:00 PM,Legends of Sleepy Hollow,Bonaire 4,Greater Than Games,,,4,
3.Friday,4:00:00 PM,5:00:00 PM,Cosmic Run: Regeneration,Bonaire 6,Steve Finn,,Event,4,"Race through space in this dice and board game from, Dr. Finn's Games."
3.Friday,5:00 PM,5:15 PM,Announcements,EVERYWHERE, ,,,,
3.Friday,6:00 PM,8:30 PM,Safari Turbo,Bonaire 2,Omar Tarancon,,,,"4 Tables, 3 players per table"
3.Friday,7:00 PM,9:00 PM,JVMF Auction,Caribbean Ballroom V-VII,Allen Enyart,,Special Event,250,Come and bid to raise money for the Jack Vasel Memorial Fund
3.Friday,7:00 PM,10:00 PM,Baseball Highlights 2045,Bonaire 5,Phillip Millman,,Tournament,32,Try to win the championship
3.Friday,7:00 PM,11:00 PM,Pathfinder Society Scenario #10-16: What the Helms Hide,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,7:00 PM,11:00 PM,Pathfinder Society Scenario #10-21: Slaver's End,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,7:00 PM,11:00 PM,Starfinder Society Quest: Into the Unknown,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,7:00 PM,11:00 PM,Starfinder Society Scenario #1-24: Siege of Enlightenment,Curacao III & IV,Shane Murphy,Dominick Trascritti,,Event,Come Play RPG's
3.Friday,8:00 PM,10:00 PM,Liars Dice Tournament,Curacao I & II,Richard Borg,,,50,
3.Friday,9:00 PM,,Werewolf Custom Game Signup,,Eat Villagers,,,,Signup for Werewolf
3.Friday,9:00 PM,TBD,Two Rooms and a Boom,Bonaire 3 & 4,Mike Davis,,,32,
3.Friday,9:00 PM,11:00 PM,Pod Cast - Tom Top 5,Caribbean Ballroom V-VII,Tom Vasel,,,250,The Dice Tower Top 5 Podcast Show
3.Friday,10:00 PM,,Christmas in July Werewolf,Boca 6,Eat Villagers,,,,Come Play Werewolf
3.Friday,10:00 PM,,Orlando Featuring Caleb Bennett,Boca 5 ,Eat Villagers,,,,Come Play Werewolf
3.Friday,10:00 PM,8:00 AM,WEREWOLF,BOCA 5-8 & BOCA FOYER,Eat Villagers,,,,"Join the All night Werewolf games, run by Eat Villagers. Please remember that alcohol is not allowed in the Gaming area."
3.Friday,12 12 PM,2:00 PM,"RED ALERT-Space Fleet Warfare Demo Event",Curacao I & II,Richard Borg,Jose Mata,Demo, ,
4.Saturday,12:00 AM,11:59 PM,OPEN GAMING,ANTIGUA 2-4,,,,,
4.Saturday,12:00 AM,,LIBRARY,HIBISCUS ROOM,,,,,
4.Saturday,12:00 AM,,OPEN GAMING,SIERRA BALLROOM,,,,,
4.Saturday,8:00 AM,10:00 AM,Flea Market,Caribbean Ballroom V-VII,Allen Enyart,,,,Come join the Flea Market for a special deal
4.Saturday,9:00 AM,11:00 AM,Pandemic Survival Tournament - DTC,Boca I-II,Michael Giugliano,Joseph Rose,,16,
